chunk_id,source_id,domain,hard_negative_category,hard_negative_for,expected_active_concepts,predicted_active_concepts,false_positive_concepts,false_negative_concepts,ambiguous,unsupported,consciousness_label,consciousness_weight,self_identity_label,self_identity_weight,reality_appearance_label,reality_appearance_weight
advaita_paramananda_1917_vedanta_in_practice:chunk:023d6cfac18e49f6056439ee,advaita_paramananda_1917_vedanta_in_practice,advaita,consciousness_vs_cognition,consciousness,reality_appearance,reality_appearance|self_identity,self_identity,,True,False,negative,0.35178578,negative,0.70473973,positive,0.78677815
advaita_paramananda_1917_vedanta_in_practice:chunk:72dcea46b127e8d376bb9560,advaita_paramananda_1917_vedanta_in_practice,advaita,consciousness_vs_cognition,consciousness,reality_appearance,self_identity,self_identity,reality_appearance,False,False,negative,0.35042721,negative,0.72794663,partial,0.73929519
advaita_paramananda_1917_vedanta_in_practice:chunk:942d644e6ec3fa5482918cd7,advaita_paramananda_1917_vedanta_in_practice,advaita,consciousness_vs_cognition,consciousness,self_identity,self_identity,,,False,False,negative,0.34543139,positive,0.73933548,negative,0.74602269
advaita_paramananda_1917_vedanta_in_practice:chunk:99cfc445088a62b66808b775,advaita_paramananda_1917_vedanta_in_practice,advaita,consciousness_vs_cognition,consciousness,reality_appearance|self_identity,self_identity,,reality_appearance,False,False,negative,0.34574278,positive,0.73184881,partial,0.74563127
advaita_paramananda_1917_vedanta_in_practice:chunk:ec3cc6b27174728dffaf2f70,advaita_paramananda_1917_vedanta_in_practice,advaita,consciousness_vs_cognition,consciousness,reality_appearance|self_identity,self_identity,,reality_appearance,False,False,negative,0.34176605,positive,0.74955655,partial,0.74168000
advaita_sankara_thibaut_1890_vedanta_sutras:chunk:0b074e4e319bf3a70e064bb6,advaita_sankara_thibaut_1890_vedanta_sutras,advaita,,,consciousness|reality_appearance|self_identity,reality_appearance|self_identity,,consciousness,True,False,partial,0.36778140,positive,0.75161410,positive,0.76838107
advaita_sankara_thibaut_1890_vedanta_sutras:chunk:170174eabca0e4d6a84fd58a,advaita_sankara_thibaut_1890_vedanta_sutras,advaita,,,consciousness|reality_appearance,reality_appearance|self_identity,self_identity,consciousness,True,False,partial,0.36413347,negative,0.71489985,positive,0.81156682
advaita_sankara_thibaut_1890_vedanta_sutras:chunk:1a81349d93d0bc11c5d1a4e8,advaita_sankara_thibaut_1890_vedanta_sutras,advaita,,,consciousness|reality_appearance|self_identity,reality_appearance|self_identity,,consciousness,True,False,partial,0.36909138,positive,0.75436803,positive,0.75516613
advaita_sankara_thibaut_1890_vedanta_sutras:chunk:1adf902fb6fcf56c1ea6280a,advaita_sankara_thibaut_1890_vedanta_sutras,advaita,,,consciousness|self_identity,self_identity,,consciousness,False,False,partial,0.36057199,positive,0.76101215,negative,0.72374775
advaita_sankara_thibaut_1890_vedanta_sutras:chunk:234958ae8a394d7e149763a9,advaita_sankara_thibaut_1890_vedanta_sutras,advaita,,,reality_appearance|self_identity,self_identity,,reality_appearance,False,False,negative,0.36679949,positive,0.77038159,partial,0.72899382
