source_id,domain,source_title,section_id,section_title,parent_section,unit_type,structural_locator,chunk_count,token_count,sample_text,parser_warning_count,ocr_noise_score,unusually_high_chunk_count,missing_heading,generic_heading,ocr_heavy,front_matter,index_section,references_section,appendix_section,repeated_header_or_footer,empty_heading,large_unstructured_section,verse_range_rule_candidate,proposed_structure_action,manual_scope_decision,manual_relevant_concepts,manual_structure_action,manual_review_notes
advaita_paramananda_1917_vedanta_in_practice,advaita,"Vedanta in Practice, Third Edition",advaita_paramananda_1917_vedanta_in_practice:section:02a654c41f0b8292bc2934e2,,,commentary,,11,2254,"mu6t always bear in mind the pur- pose of all spiritual practice: — ^that is, to open a channel within us by which we may feel the presence of God and see what is now invisible to us. The channel is opened when we are able to drop the consciousness of the little “I” and free our mind from impurities or from its at- tachment to material things only. So the whole object of our practice is to make u…",0,0.000182,False,False,True,False,False,False,False,False,True,True,False,False,source_specific_preprocessing,,,,
advaita_paramananda_1917_vedanta_in_practice,advaita,"Vedanta in Practice, Third Edition",advaita_paramananda_1917_vedanta_in_practice:section:27f2bdf3ed78a022e25905af,,,commentary,,12,2414,"T^TISDOM is the goal of human exist- * * ence. Even men of the lowest intel- ligence want to know the secret of things ; because knowledge alone can bring peace and happiness to our souls. Ignorance is the main source of all misery and no one really enjoys being in that state. Why do we find so many ignorant, irresponsible people around us then, if all are eager for wisdom? Because, although the…",0,0.000167,False,False,True,False,False,False,False,False,True,True,False,False,source_specific_preprocessing,,,,
advaita_paramananda_1917_vedanta_in_practice,advaita,"Vedanta in Practice, Third Edition",advaita_paramananda_1917_vedanta_in_practice:section:2c84e09d92daa9dc33c9c4d2,,,commentary,,14,2846,"R ealization is the watchword of all religions. If there is a God, we must see Him; if there is a Supreme Self, we must realize It. Otherwise these theories about the existence of God and the Soul have very lijtle value. If we cannot put them on a practical basis and realize the truth of them, they remain for us but mere words. This realization is the only thing that can bring satisfac- tion to u…",0,0.0,False,False,True,False,False,False,False,False,True,True,False,False,source_specific_preprocessing,,,,
advaita_paramananda_1917_vedanta_in_practice,advaita,"Vedanta in Practice, Third Edition",advaita_paramananda_1917_vedanta_in_practice:section:369c16dae22347326819e317,,,commentary,,1,4,THIS LlTTLl BOOK IS,0,0.0,False,False,True,False,False,False,False,False,False,True,False,False,manual_section_review,,,,
advaita_paramananda_1917_vedanta_in_practice,advaita,"Vedanta in Practice, Third Edition",advaita_paramananda_1917_vedanta_in_practice:section:38e77338d1a8a62f6a4ad0b4,,,commentary,,4,676,"W HO is thy wife? Who is thy son? How curipus is this world! Who art thou thyself — and whence comest thou? Think on the truth of these things, O Brother. Worship the Lord. Worship the Lord. Worship the Lord, fool that thou art! Even from a son comes dread to the rich, is a common proverb. Take no pride in having riches, or youth, or family-retainers. Moha-M udgara 107 Time steals them all away i…",0,0.0,False,False,True,False,False,False,False,False,False,True,False,False,manual_section_review,,,,
advaita_paramananda_1917_vedanta_in_practice,advaita,"Vedanta in Practice, Third Edition",advaita_paramananda_1917_vedanta_in_practice:section:3e2f4f7ec870655668096a34,,,commentary,,2,355,"“N OR is that Self to be gained by one who is destitute of strength, or without earnestness, or without right meditation. But if a wise man strives after it by those means [by strength, earnestness, and right meditation], then his Self enters the home of Brahman.” “When they have reached Him [the Self], the sages become satisfied through knowledge; they are conscious of their Self, their passions…",0,0.0,False,False,True,False,False,False,False,False,False,True,False,False,manual_section_review,,,,
advaita_paramananda_1917_vedanta_in_practice,advaita,"Vedanta in Practice, Third Edition",advaita_paramananda_1917_vedanta_in_practice:section:445a41ba3ed1c2c4bba4dcc3,,,commentary,,1,252,"I AM neither body nor changes of the body; Nor am I senses or object of the senses. I am Existence Absolute, Knowledge Absolute, Bliss Absolute; I am He, 1 am He. (Shivo Hum, Shivo Hum.) I am neither sin nor virtue; nor temple, nor worship; Nor pilgrimage, nor books. I am Existence Absolute, Knowledge Absolute, Bliss Absolute; I am He, 1 am He. (Shivo Hum, Shivo Hum.) Shivo Hum 105 I have neither…",0,0.0,False,False,True,False,False,False,False,False,False,True,False,False,manual_section_review,,,,
advaita_paramananda_1917_vedanta_in_practice,advaita,"Vedanta in Practice, Third Edition",advaita_paramananda_1917_vedanta_in_practice:section:4c7cc9c7a9886a8dde6a4bf7,,,commentary,,17,3271,"VERYTHING in this world is tran- ^ sitory and fleeting. From the high- est manifestation of human life to the lowest worm all are destined to perish. No man was ever born jwho could stop his body from changing constantly. Body is the name of a series of changes. What remains, then, but character? Time swallows up everything except character; this is the only thing it cannot touch. If we look back…",0,0.000235,False,False,True,False,False,False,False,False,True,True,True,False,source_specific_preprocessing,,,,
advaita_paramananda_1917_vedanta_in_practice,advaita,"Vedanta in Practice, Third Edition",advaita_paramananda_1917_vedanta_in_practice:section:5b2742cd128a28ec435a0699,,,commentary,,1,1,OR,0,0.0,False,False,True,False,False,False,False,False,False,True,False,False,manual_section_review,,,,
advaita_paramananda_1917_vedanta_in_practice,advaita,"Vedanta in Practice, Third Edition",advaita_paramananda_1917_vedanta_in_practice:section:65ab865c3bbd9e1a9a9a9a5f,,,commentary,,5,956,"A ll that we are is the result of what we have thought: it is founded on our thoughts, it is made up of our thoughts. If a man speaks or acts with an evil thought, pain follows him, as the wheel follows the foot of the ox that draws the carriage. All that we are is the result of what we have thought: it is founded on our thoughts, it is made up of our thoughts. If a man speaks or acts with a pure…",0,0.0004,False,False,True,False,False,False,False,False,False,True,False,False,manual_section_review,,,,
advaita_paramananda_1917_vedanta_in_practice,advaita,"Vedanta in Practice, Third Edition",advaita_paramananda_1917_vedanta_in_practice:section:6a22eabf41041837644f6494,,,commentary,,1,252,"good is one thing, the pleas- ant another ; these two, having dif- ferent objects, chain a man. It is well with him who clings to the good ; he who chooses the pleasant, misses his end.” “The good and the pleasant approach man: the wise goes round about them and distinguishes them. Yea, the wise prefers the good to the pleasant, but the fool chooses the pleasant through greed and avarice.” “Thou,…",0,0.0,False,False,True,False,False,False,False,False,False,True,False,False,manual_section_review,,,,
advaita_paramananda_1917_vedanta_in_practice,advaita,"Vedanta in Practice, Third Edition",advaita_paramananda_1917_vedanta_in_practice:section:71a6597a821b71862da7163f,,,commentary,,1,4,Vedanta in Practice BY,0,0.0,False,False,True,False,False,False,False,False,False,True,False,False,manual_section_review,,,,
advaita_paramananda_1917_vedanta_in_practice,advaita,"Vedanta in Practice, Third Edition",advaita_paramananda_1917_vedanta_in_practice:section:71ecb3dc99c35b60666f1e5f,,,commentary,,1,260,"In giving religious instruction it is al- ways important to show how principles can be put into practice. People sometimes imagine that the principles are all and that when one has learnad them and can talk glibly about them, nothing further is necessary. This is as great a mistake as to suppose that looking at a well-spread table is all that is needed to satisfy hun- ger. Unless we not only eat…",0,0.002,False,False,True,False,False,False,False,False,False,True,False,False,manual_section_review,,,,
advaita_paramananda_1917_vedanta_in_practice,advaita,"Vedanta in Practice, Third Edition",advaita_paramananda_1917_vedanta_in_practice:section:85c036fe20560c88ca4a9424,,,commentary,,1,3,Page No.,0,0.0,False,False,True,False,False,False,False,False,False,True,False,False,manual_section_review,,,,
advaita_paramananda_1917_vedanta_in_practice,advaita,"Vedanta in Practice, Third Edition",advaita_paramananda_1917_vedanta_in_practice:section:a0291db266a06697de22ee49,,,commentary,,16,3080,"j ""^HRFE things are rare and only ob- tainable through the grace of the Supreme Being: human life, an earnest desire for liberation, and the helpful asso- ciation of the Holy.” So it is said by the great illumined Sage Sankara. Why should it be so.? Why should human life be considered so great? According to the conception of creation given in Vedanta, this human body is the greatest body in the u…",0,0.0,False,False,True,False,False,False,False,False,True,True,True,False,source_specific_preprocessing,,,,
advaita_paramananda_1917_vedanta_in_practice,advaita,"Vedanta in Practice, Third Edition",advaita_paramananda_1917_vedanta_in_practice:section:a35479a37487be43792ac50c,,,commentary,,1,34,"AUTHOR OF ""the PATH OP DEVOTION,"" ""the way of peace and blessedness,"" ""soul's secret door,"" ""reincarnation and immortality,"" BTC.",0,0.0,False,False,True,False,False,False,False,False,False,True,False,False,manual_section_review,,,,
advaita_paramananda_1917_vedanta_in_practice,advaita,"Vedanta in Practice, Third Edition",advaita_paramananda_1917_vedanta_in_practice:section:c9f0e2cd22494efcb38dadd2,,,commentary,,1,206,"“^J^WO birds, inseparable friends, cling to the same tree. One of them eats the sweet fruit, the other looks on without eating. “On the same tree naan sits grieving, immersed, bewildered by his own impo- tence. But when he sees the other Lord [Isa] contented, and knows his glory, then his grief passes away.” “When the Seer sees the brilliant Maker and Lord [of the world] as the Person who has His…",0,0.0,False,False,True,False,False,False,False,False,False,True,False,False,manual_section_review,,,,
advaita_paramananda_1917_vedanta_in_practice,advaita,"Vedanta in Practice, Third Edition",advaita_paramananda_1917_vedanta_in_practice:section:fb9118672d9d574cff036dd3,,,commentary,,1,14,"BOSTON, MASS., U. S. A. 1917 1917 BT",0,0.0,False,False,True,False,False,False,False,False,False,True,False,False,manual_section_review,,,,
advaita_paramananda_1919_upanishads,advaita,The Upanishads,advaita_paramananda_1919_upanishads:section:071dea0f6ef6375ab19129eb,,,root_text,,1,19,The Brahman perceived this and appeared before them. They did not know what mysterious form it was.,0,0.0,False,False,True,False,False,False,False,False,False,True,False,False,manual_section_review,,,,
advaita_paramananda_1919_upanishads,advaita,The Upanishads,advaita_paramananda_1919_upanishads:section:0d9ef650299c4dc818aaa1a3,,,root_text,,1,30,O Nachiketas after wise reflection thou hast renounced the pleasant and all pleasing forms. Thou hast not accepted this garland of great value for which many mortals perish.,0,0.0,False,False,True,False,False,False,False,False,False,True,False,False,manual_section_review,,,,
advaita_paramananda_1919_upanishads,advaita,The Upanishads,advaita_paramananda_1919_upanishads:section:0e31a660dd1d82875545a706,,,root_text,,1,28,"When this Atman, which is seated in the body, goes out (from the body), what remains then? This verily is That.",0,0.0,False,False,True,False,False,False,False,False,False,True,False,False,manual_section_review,,,,
advaita_paramananda_1919_upanishads,advaita,The Upanishads,advaita_paramananda_1919_upanishads:section:0e434d23c5b621b90312d5e7,,,root_text,,1,33,"Know the Atman (Self) as the lord of the chariot, and the body as the chariot. Know also the intellect to be the driver and mind the reins.",0,0.0,False,False,True,False,False,False,False,False,False,True,False,False,manual_section_review,,,,
advaita_paramananda_1919_upanishads,advaita,The Upanishads,advaita_paramananda_1919_upanishads:section:0e54d2474b3fac363c7b8f37,,,root_text,,1,122,"The man who has a discriminative intellect for the driver, and a controlled mind for the reins, reaches the end of the journey, the highest place of Vishnu (the All-pervading and Unchangeable One). A driver must possess first a thorough knowledge of the road; next he must understand how to handle the reins and control his horses. Then will he drive safely to his destination. Similarly in this jou…",0,0.0,False,False,True,False,False,False,False,False,False,True,False,False,manual_section_review,,,,
advaita_paramananda_1919_upanishads,advaita,The Upanishads,advaita_paramananda_1919_upanishads:section:0eea4544ae94a20f110e2d97,,,root_text,,1,23,This Word is indeed Brahman. This Word is indeed the Supreme. He who knows this Word obtains whatever he desires.,0,0.0,False,False,True,False,False,False,False,False,False,True,False,False,manual_section_review,,,,
