chunk_id,source_id,domain,source_title,author,translator,publication_year,citation,section_title,structural_locator,chunk_text,token_count,source_checksum,text_checksum,selection_rank,selection_class,selection_score,selection_rule_ids,matched_terms,eligible_concepts,hard_negative_category,selection_rationale,parser_warnings,review_flags,structure_report_action,ocr_noise_score,severe_ocr_noise,review_decision,reviewer,reviewed_at,review_notes,consciousness_label,self_identity_label,reality_appearance_label,primary_concept,secondary_concepts,hard_negative_for,hard_negative_category_reviewed,citation_verified,text_quality_status,ocr_review_status,edited_text
science_limanowski_blankenburg_2013_minimal_self_models:chunk:0fe6f9a25ebdf17f1fb836ea,science_limanowski_blankenburg_2013_minimal_self_models,science,Minimal Self-Models and the Free Energy Principle,Jakub Limanowski; Felix Blankenburg,,2013,Jakub Limanowski; Felix Blankenburg. Minimal Self-Models and the Free Energy Principle. 2013,,,"A number of publications have recently put forward the idea that (minimal) selfhood is based on the neurobiological implementation of hierarchical generative models in the brain (Hohwy, 2007 , 2010 ; Seth et al., 2011 ; Fotopoulou, 2012 ; Friston, 2012a , b ; Apps and Tsakiris, 2013 ; Clark, 2013 ). In one sentence, these accounts propose to “understand the elusive sense of minimal self in terms of having internal models that successfully predict or match the sensory consequences of our own movement, our intentions in action, and our sensory input” (Hohwy, 2007 ). In accordance with Friston ( 2011 , 2012b , 2013b ), who has already emphasized the fundamental, bi-directional role of embodiment in the FEP, these accounts also embrace the body as a central part of the self-model. The aspects of the minimal self that these approaches formalize in the FEP all follow as consequences from this embodied self-modeling (Metzinger, 2004a ; Hohwy, 2007 ; Friston, 2011 ): The body predicts and integrates multisensory information in a way that no other physical object does (Hohwy, 2007 , 2010 ; Apps and Tsakiris, 2013 ), it is the only source of internally generated input (Seth et al., 2011 ; Critchley and Seth, 2012 ), it is crucial for interaction with the environment and a sense of agency (Kilner et al., 2007 ; Frith, 2007 ; Friston et al., 2011 ). From the phenomenological and spatiotemporal centeredness of experience onto the body (Friston, 2011 ) emerges the 1PP, and ultimately, the “mineness” of experience (Hohwy, 2007 ; Apps and Tsakiris, 2013 ).",324,68d1ffd21c79f2cbe397c4f53269b6f90eb3a1fba1e163c6257884751bdfb27d,f613ed51913c1ee0e807405133d5ccded0f431a73d4b33191edc31d16ac02357,1,mixed_positive_hard_negative,42.640282,limanowski_minimal_self | concept_lexical:consciousness | concept_lexical:self_identity | hard_negative:reality_appearance_vs_perceptual_description,experience | self | selfhood | minimal self | embodied self | brain | sensory | object | body | agency | self model | self-model,consciousness | self_identity,reality_appearance_vs_perceptual_description,"class=mixed_positive_hard_negative; eligible_concepts=consciousness, self_identity; hard_negative=reality_appearance_vs_perceptual_description; source_rules=limanowski_minimal_self; review_flags=manual_section_review",,manual_section_review,manual_section_review,0.035972,false,include,GPT-5.6 Sol,2026-08-08T08:58:00+05:30,"Included: substantive and understandable passage serving consciousness=partial, self_identity=positive, hard negative: reality_appearance_vs_perceptual_description. Citation metadata is internally consistent.",partial,positive,negative,self_identity,consciousness,reality_appearance,reality_appearance_vs_perceptual_description,yes,acceptable,acceptable,
science_limanowski_blankenburg_2013_minimal_self_models:chunk:53543ef470d6ae2b69d3603a,science_limanowski_blankenburg_2013_minimal_self_models,science,Minimal Self-Models and the Free Energy Principle,Jakub Limanowski; Felix Blankenburg,,2013,Jakub Limanowski; Felix Blankenburg. Minimal Self-Models and the Free Energy Principle. 2013,,,"Following their emphasis of self-modeling mechanisms for minimal selfhood, Metzinger and colleagues (Knoblich et al., 2003 ) have argued that an analysis of selfhood should focus on the underlying functional properties of the system, i.e., the brain. In this review, we will examine one promising candidate brain theory for this analysis: over the last years, a general theoretical account of cortical function based on the “free energy principle” (FEP) has been put forth by Friston (Friston et al., 2006 ; Friston, 2009 , 2010 ; Clark, 2013 ), based on the conclusive assumption that the brain entails hierarchical dynamical models to predict the causes of its sensory data (Hohwy, 2007 ; Frith, 2007 ; Friston and Kiebel, 2009 ; Bubic et al., 2010 ).",156,68d1ffd21c79f2cbe397c4f53269b6f90eb3a1fba1e163c6257884751bdfb27d,8b0ebbce096ba032b42351220da06c3ab340600be56d07273eeb24a17748bd56,2,mixed_positive_hard_negative,31.999808,limanowski_minimal_self | concept_lexical:consciousness | concept_lexical:self_identity | hard_negative:reality_appearance_vs_perceptual_description,self | selfhood | minimal self | brain | sensory,consciousness | self_identity,reality_appearance_vs_perceptual_description,"class=mixed_positive_hard_negative; eligible_concepts=consciousness, self_identity; hard_negative=reality_appearance_vs_perceptual_description; source_rules=limanowski_minimal_self; review_flags=manual_section_review",,manual_section_review,manual_section_review,0.025019,false,include,GPT-5.6 Sol,2026-08-08T08:58:00+05:30,"Included: substantive and understandable passage serving self_identity=positive, hard negative: reality_appearance_vs_perceptual_description. Citation metadata is internally consistent.",negative,positive,negative,self_identity,,reality_appearance,reality_appearance_vs_perceptual_description,yes,acceptable,clean,
science_ionta_gassert_blanke_2011_bodily_self_consciousness:chunk:a2387c6cf61c511db494c87a,science_ionta_gassert_blanke_2011_bodily_self_consciousness,science,Multi-sensory and Sensorimotor Foundations of Bodily Self-Consciousness,Silvio Ionta; Roger Gassert; Olaf Blanke,,2011,Silvio Ionta; Roger Gassert; Olaf Blanke. Multi-Sensory and Sensorimotor Foundation of Bodily Self-Consciousness: An Interdisciplinary Approach. 2011,,,"The MR environment precludes the use of conventional robotic devices with fMRI, both for safety and compatibility reasons. However, despite these constraints, a study using fMRI, MR-compatible robotics, and visuo-tactile multi-sensory conflict has recently investigated the neural mechanisms of self-location and first-person perspective (Ionta et al., 2011 ). A robotic device built from MR-compatible materials, sensors, and actuators was embedded in the MR-scanner bed. Participants lay on an ergonomic mattress divided into two parts, holding a robotic stimulator in the center, between the two mattresses. Based on Lenggenhager et al. ( 2009 ), the robotic device moved a tactile stimulator along a linear guide located below the back of the subject, driven by an ultrasonic motor over a rack and pinion gear. A tactile stimulation sphere was attached at the output over a flexible spring blade. This ensured a constant pressure on the participants’ back and allowed the tactile stimulus to be presented according to a precisely repeatable movement profile. While feeling the tactile stimulation on the back, participants watched videos through MR-compatible video goggles placed in front of their eyes. The videos showed the back of a human body in a prone position, filmed from an elevated perspective, being stroked (visual stroking) synchronously or asynchronously with respect to the tactile stroking performed by the robotic device on the participants’ back. In a control condition the human body was hidden, and participants could see only the rod moving up and down in an empty room. By virtue of this computer-controlled robotic device, the spatial and temporal aspects of the visuo-tactile stimulation were precisely controlled during the fMRI sessions within and across participants. After the visuo-tactile stimulation, self-location was estimated using the MBD task (Lenggenhager et al., 2009 ). Furthermore, participants completed the questionnaire on self-identification (Ehrsson, 2007 ; Lenggenhager et al., 2007 , 2009 ) adapted from the original one used for the rubber hand illusion (Botvinick and Cohen, 1998 ). Confirming pilot testing it was found that some participants felt as if they were looking up at the virtual body (concordant with their real orientation) whilst others felt as if they were looking down on their virtual body (even if they were facing upward).",444,725659b2e6597b28c256f81f90e6ccabf780e4d4366b972972ad87f054172553,cc3fe2acd337a327279d214dabf6a7ead869f054335647c6e42e76ea391f7f2c,3,positive,49.846132,ionta_bodily_self | ionta_multisensory | concept_lexical:consciousness | concept_lexical:self_identity | concept_lexical:reality_appearance,consciousness | real | illusion | self | bodily self | first-person perspective | first-person | subject | self-location | self-identification | neural | sensory | body | person | self consciousness | self-consciousness | self location | sensorimotor,consciousness | self_identity | reality_appearance,,"class=positive; eligible_concepts=consciousness, self_identity, reality_appearance; source_rules=ionta_bodily_self, ionta_multisensory; review_flags=manual_section_review",,manual_section_review,manual_section_review,0.015387,false,include,GPT-5.6 Sol,2026-08-08T08:58:00+05:30,"Included: substantive and understandable passage serving consciousness=partial, self_identity=positive, reality_appearance=positive. Citation metadata is internally consistent.",partial,positive,positive,self_identity,reality_appearance|consciousness,,,yes,acceptable,clean,
advaita_sankara_thibaut_1890_vedanta_sutras:chunk:f9c952ef373a04b49802f319,advaita_sankara_thibaut_1890_vedanta_sutras,advaita,The Vedanta-Sutras with the Commentary of Sankara,"Badarayana, traditional attribution; Sankaracarya, commentator",George Thibaut,1890,"Badarayana, traditional attribution; Sankaracarya, commentator. The Vedanta-Sutras with the Commentary by Sankaracarya, Part I. trans. George Thibaut. 1890",,,"The Great one is the technical Sâ@nkhya-term for buddhi, avyakta is a common designation of pradhâna or prakriti, and purusha is the technical name of the soul. Compare, for instance, Sâ@nkhya Kâr. 2, 3.

Samkalpavikalparûpamananasaktyâ hairanyagarbhî buddhir manas tasyâh vyashtimanahsu samashtitayâ vyâptim âha mahân iti. Samkalpâdisktitayâ tarhi samdehâtmatvam tatrâha matir iti. Mahatvam upapâdayati brahmeti. Bhogyajâtâdhâratvam âha pûr iti. Niskayâtmakatvam âha buddhir iti. Kîrtisaktimattvam âha khyâtir iti. Niyamanasaktimatvam aha îsvara iti. Loke yat prakrishtam jñânam tatosnatirekam âha prajñeti. Tatphalam api tato nârthântaravishayam ity âha samvid iti. Kitpradhânatvam âha kitir iti. Jñatasarvârtbânusamdhânasaktim âha smritis keti. Ânanda Giri.

Nanu na bîjasaktir vidyayâ dahyate vastutvâd âtmavan nety âha avidyeti. Kekit tu pratijîvam avidyasaktibhedam ikkhanti tan na avyaktâvyâkritâdisabdâyâs tasyâ bhedakâbhâvâd ekatvexpi svasaktyâ vikitrakâryakaratvâd ity âha avyakteti. Na ka tasyâ jîvâsrayatvam jîvasabdavâkyasya kalpitatvâd avidyârûpatvât takkhabdalakshyasya brahmâvyatirekâd ity âha paramesvareti. Mâyâvidyayor bhedâd îsvarasya mâyâsrayatvam jîvânâm avidyâsrayateti vadantam pratyâha mâyâmayîti. Yathâ mâyâvino mâyâ paratantrâ tathaishâpîty arthah. Pratîtau tasyâs ketanâpekshâm âha mahâsuptir iti. Ânanda Giri.",189,845569c10c3b13b853902cdc82b4ddfefec20230663e960bc2308caa153571d5,3a227e865b7fd93ae708eafc0390938b34f0932ed8c17c8475548ed5c7dba853,4,mixed_positive_hard_negative,30.916962,vedanta_sutras_pradhana_refutation | concept_lexical:consciousness | concept_lexical:reality_appearance | hard_negative:advaita_atman_vs_samkhya_purusha,purusha | prakriti | avyakta | buddhi | pradhâna | sâ@nkhya,consciousness | reality_appearance,advaita_atman_vs_samkhya_purusha,"class=mixed_positive_hard_negative; eligible_concepts=consciousness, reality_appearance; hard_negative=advaita_atman_vs_samkhya_purusha; source_rules=vedanta_sutras_pradhana_refutation; review_flags=manual_section_review",,manual_section_review,manual_section_review,0.008304,false,include,GPT-5.6 Sol,2026-08-08T08:58:00+05:30,"Included: substantive and understandable passage serving reality_appearance=partial, hard negative: advaita_atman_vs_samkhya_purusha. Citation metadata is internally consistent.",negative,negative,partial,reality_appearance,,self_identity,advaita_atman_vs_samkhya_purusha,yes,acceptable,acceptable,
advaita_paramananda_1917_vedanta_in_practice:chunk:ec3cc6b27174728dffaf2f70,advaita_paramananda_1917_vedanta_in_practice,advaita,"Vedanta in Practice, Third Edition",Swami Paramananda,,1917,"Swami Paramananda. Vedanta in Practice, Third Edition. 1917",,,"78

Self-Realization

ized by the intellect, nor by words, nor by hearing from many sources; but by him by whom this Atman is beloved, by him alone is the Atman realized.” The thing necessary for us is to feel intense love in our hearts for this Supreme Self or God; otherwise He is not attainable. There is no other way that man can reach unto God, except through love — love always unites. This love for God comes unto those blessed beings who are pure in heart, from whom all attach- ment for unreal things, all selfish desires have vanished. This purity of heart and love for God are the sum and substance of all religious teachings.

We may spend the whole of our lives searching earnestly for Truth in temples, in churches and in books; but without understanding the significance of these fundamental teachings all these efforts will be in vain. Religion is practical and

Self~Realization

79",180,10cfb7607091d5e082bff2b7c076434ee65102176e4679095e4bcd9296eeca34,d39ab70b2b944ec2305c10f10df9892e5e9bcc708a724d74772f2d7f6590a3eb,5,mixed_positive_hard_negative,30.932157,vedanta_practice_self | concept_lexical:self_identity | hard_negative:consciousness_vs_cognition,self | atman | intellect,self_identity,consciousness_vs_cognition,class=mixed_positive_hard_negative; eligible_concepts=self_identity; hard_negative=consciousness_vs_cognition; source_rules=vedanta_practice_self; review_flags=source_specific_preprocessing,,source_specific_preprocessing,source_specific_preprocessing,0.006784,false,include,GPT-5.6 Sol,2026-08-08T08:58:00+05:30,"Included: substantive and understandable passage serving self_identity=positive, reality_appearance=partial, hard negative: consciousness_vs_cognition. Citation metadata is internally consistent.",negative,positive,partial,self_identity,reality_appearance,consciousness,consciousness_vs_cognition,yes,acceptable,clean,
advaita_sankara_thibaut_1890_vedanta_sutras:chunk:82fdb81175c1711ebe5130b8,advaita_sankara_thibaut_1890_vedanta_sutras,advaita,The Vedanta-Sutras with the Commentary of Sankara,"Badarayana, traditional attribution; Sankaracarya, commentator",George Thibaut,1890,"Badarayana, traditional attribution; Sankaracarya, commentator. The Vedanta-Sutras with the Commentary by Sankaracarya, Part I. trans. George Thibaut. 1890",,,"Whichever commentator we follow, we greatly miss coherence and strictness of reasoning, and it is thus by no means improbable that the section is one of those—perhaps not few in number—in which both interpreters had less regard to the literal sense of the words and to tradition than to their desire of forcing Bâdarâyana's Sûtras to bear testimony to the truth of their own philosophic theories.

With special reference to the Mâyâ doctrine one important Sûtra has yet to be considered, the only one in which the term 'mâyâ' itself occurs, viz.

III, 2, 3.

According to Sa@nkara the Sûtra signifies that the environments of the dreaming soul are not real but mere Mâyâ, i.e. unsubstantial illusion, because they do not fully manifest the character of real objects.

Râmânuja (as we have seen in the conspectus) gives a different explanation of the term 'mâyâ,' but in judging of Sa@nkara's views we may for the time accept Sa@nkara's own interpretation.

Now, from the latter it clearly follows that if the objects seen in dreams are to be called Mâyâ, i.e. illusion, because not evincing the characteristics of reality, the objective world surrounding the waking soul must not be called Mâyâ.",246,845569c10c3b13b853902cdc82b4ddfefec20230663e960bc2308caa153571d5,6fe4b8bd4b97fdfdca79a38d5d8b4ac1e7c7068f34544b0dcf13720d7a1def59,6,mixed_positive_hard_negative,35.648758,concept_lexical:reality_appearance | hard_negative:consciousness_vs_cognition,reality | real | illusion | objective world | manifest | world,reality_appearance,consciousness_vs_cognition,class=mixed_positive_hard_negative; eligible_concepts=reality_appearance; hard_negative=consciousness_vs_cognition; review_flags=manual_section_review,,manual_section_review,manual_section_review,0.010124,false,exclude,GPT-5.6 Sol,2026-08-08T09:17:00+05:30,"Excluded in Advaita second-pass curation: translator/editorial commentary about competing interpretations rather than a direct Phase 1 claim. Removed to reduce Advaita/source concentration while preserving stronger, less redundant Phase 1 coverage. Citation metadata remains usable.",negative,partial,positive,reality_appearance,self_identity,consciousness,consciousness_vs_cognition,yes,acceptable,acceptable,
samkhya_dasgupta_1922_history_volume1_samkhya:chunk:3121f5fec99e89517759853d,samkhya_dasgupta_1922_history_volume1_samkhya,samkhya,"A History of Indian Philosophy, Volume I — Samkhya",Surendranath Dasgupta,,1922,"Surendranath Dasgupta. A History of Indian Philosophy, Volume 1: Samkhya Sections. 1922",,,"489

before my senses, and I attribute the quality of one to the other by illusion (e.g. the illusion that the crystal is red), then the illusion is of the form of anyathâkhyâti; but if one of the things is not present before my senses and the other is, then the illusion is not of the anyathâkhyâti type, but of the anirvacanîyakhyâti type. Vedânta could not avoid the former type of illusion, for it believed that all appearance of reality in the world-appearance was really derived from the reality of Brahman, which was self-luminous in all our experiences. The world appearance is an illusory creation, but the sense of reality that it carries with it is a misattribution (anyathâkhyâti) of the characteristic of the Brahman to it, for Brahman alone is the true and the real, which manifests itself as the reality of all our illusory world-experience, just as it is the reality of s'ukti that gives to the appearance of silver its reality.",193,32e428ff11f493f3b40e3d67e8f68edbf67f57d0bf20eb5f3973f314413ef55b,9d3bf9eb2d35553322391d8d4eeb366207016c2e1e3cf511b0edd66e9726d090,7,mixed_positive_hard_negative,37.162477,concept_lexical:consciousness | concept_lexical:reality_appearance | hard_negative:advaita_atman_vs_samkhya_purusha,experience | self-luminous | reality | real | appearance | illusion | illusory | self | world | true,consciousness | reality_appearance,advaita_atman_vs_samkhya_purusha,"class=mixed_positive_hard_negative; eligible_concepts=consciousness, reality_appearance; hard_negative=advaita_atman_vs_samkhya_purusha; review_flags=source_specific_preprocessing",,source_specific_preprocessing,source_specific_preprocessing,0.008752,false,include,GPT-5.6 Sol,2026-08-08T08:58:00+05:30,"Included: substantive and understandable passage serving consciousness=partial, reality_appearance=positive, hard negative: advaita_atman_vs_samkhya_purusha. Citation metadata is internally consistent.",partial,negative,positive,reality_appearance,consciousness,self_identity,advaita_atman_vs_samkhya_purusha,yes,acceptable,clean,
samkhya_vachaspati_jha_1896_tattva_kaumudi:chunk:db3efd6f714749a7d692cb03,samkhya_vachaspati_jha_1896_tattva_kaumudi,samkhya,The Tattva-Kaumudi of Vachaspati Misra,Vachaspati Misra,Ganganatha Jha,1896,Vachaspati Misra. An English Translation with the Sanskrit Text of the Tattva-Kaumudi. trans. Ganganatha Jha. 1896,,,"Now we mnst consider the natiffe of the Spirits and see what the Sankhyas have to say as to their existence, nnmW and properties. But before we proceed with this, we mnst first seS if it is necessary to have a distinct principle in the shape oflnnnmerable Spirits. And on this score, the first reason that presents itself is the fact that we have not yet got any princi- ple that will supply the intelligence. For certainly Intelli- gence cannot belong to the Buddhi for it is material, being ^e effect of Prakriti which is essentially non-intelligent, nnd what is absent in the cause cannot manifest itself in the effect. So we must have a distinct Principle of Intelligence.

Secondly . — we see in our every day life that all that is corporeal is for the nse of another, as a bed, a chair &c. And we have seen before that all the principles from Prakriti

•xxiv",178,b9ba240686bcd198c54130040e9148d4ef12287a8f623a8843a6bb441f3da730,81e5d0ba094b02336408b5148e24f54d644b2dbab1bc77eaa7168084d9c96b38,8,mixed_positive_hard_negative,30.883464,tattva_kaumudi_prakriti | concept_lexical:self_identity | concept_lexical:reality_appearance | hard_negative:consciousness_vs_cognition,manifest | prakriti | buddhi | existence,self_identity | reality_appearance,consciousness_vs_cognition,"class=mixed_positive_hard_negative; eligible_concepts=self_identity, reality_appearance; hard_negative=consciousness_vs_cognition; source_rules=tattva_kaumudi_prakriti; review_flags=manual_section_review",,manual_section_review,manual_section_review,0.011654,false,include,GPT-5.6 Sol,2026-08-08T08:58:00+05:30,"Included: substantive and understandable passage serving reality_appearance=partial, hard negative: consciousness_vs_cognition. Citation metadata is internally consistent.",negative,negative,partial,reality_appearance,,consciousness,consciousness_vs_cognition,yes,acceptable,clean,
samkhya_dasgupta_1922_history_volume1_samkhya:chunk:e89936d4ae973ee1a2181e40,samkhya_dasgupta_1922_history_volume1_samkhya,samkhya,"A History of Indian Philosophy, Volume I — Samkhya",Surendranath Dasgupta,,1922,"Surendranath Dasgupta. A History of Indian Philosophy, Volume 1: Samkhya Sections. 1922",,,"441

it correctly, and proceed on our career of daily activity.

It is no doubt true that these experiences show us an established order having its own laws, but this does not represent the real truth.

They are true only in a relative sense, so long as they appear to be so; for the moment the real truth about them and the self is comprehended all world-appearances become unreal, and that one truth, the Brahman, pure being, bliss, intelligence, shines forth as the absolute—the only truth in world and man.

The world-appearance as experienced by us is thus often likened to the illusory perception of silver in a conch-shell; for the moment the perception appears to be true and the man runs to pick it up, as if the conch-shell were a real piece of silver; but as soon as he finds out the truth that this is only a piece of conch-shell, he turns his back on it and is no longer deluded by the appearance or again attracted towards it.

The illusion of silver is inexplicable in itself, for it was true for all purposes so long as it persisted, but when true knowledge was acquired, it forthwith vanished.

This world-appearance will also vanish when the true knowledge of reality dawns.

When false knowledge is once found to be false it cannot return again.

The Upani@sads tell us that he who sees the many here is doomed.

The one, the Brahman, alone is true; all else is but delusion of name and form.",300,32e428ff11f493f3b40e3d67e8f68edbf67f57d0bf20eb5f3973f314413ef55b,a91d44ee2cfc387d5a5ea57b437646f952b707d09ffd0daa0eb7f37b9ba4f867,9,mixed_positive_hard_negative,43.906784,concept_lexical:reality_appearance | hard_negative:advaita_atman_vs_samkhya_purusha,reality | real | appearance | illusion | illusory | name and form | self | perception | world | knowledge | false | true,reality_appearance,advaita_atman_vs_samkhya_purusha,class=mixed_positive_hard_negative; eligible_concepts=reality_appearance; hard_negative=advaita_atman_vs_samkhya_purusha; review_flags=source_specific_preprocessing,,source_specific_preprocessing,source_specific_preprocessing,0.009322,false,include,GPT-5.6 Sol,2026-08-08T08:58:00+05:30,"Included: substantive and understandable passage serving consciousness=partial, reality_appearance=positive, hard negative: advaita_atman_vs_samkhya_purusha. Citation metadata is internally consistent.",partial,negative,positive,reality_appearance,consciousness,self_identity,advaita_atman_vs_samkhya_purusha,yes,acceptable,acceptable,
science_limanowski_blankenburg_2013_minimal_self_models:chunk:39359f933fc29d9e7cc3adf5,science_limanowski_blankenburg_2013_minimal_self_models,science,Minimal Self-Models and the Free Energy Principle,Jakub Limanowski; Felix Blankenburg,,2013,Jakub Limanowski; Felix Blankenburg. Minimal Self-Models and the Free Energy Principle. 2013,,,"Humans display first instances of experience sharing almost from birth onwards (Tomasello et al., 2005 ), for example, human infants as young as one hour after birth can already imitate facial gestures (Meltzoff and Moore, 1983 ). It hence seems that an “experiential connection” between self and others is already present in newborn infants (Gallagher and Meltzoff, 1996 ; Fuchs, 2012 ). Another example for such a pre-reflective self-other connection is sensorimotor mirroring (“neural resonance”, Zaki and Ochsner, 2012 ). Many studies have reported vicarious activations of the motor system by observing others’ actions (Rizzolatti and Craighero, 2004 ), or likewise of the somatosensory system by the observation of touch (Keysers et al., 2010 ) or pain to others (Bernhardt and Singer, 2012 ). These findings suggest a very basic, automatic activation of one’s representations to another person’s action intentions, or experience (Keysers et al., 2010 ; Zaki and Ochsner, 2012 ). There have been arguments for a link between sensory mirroring mechanisms and higher-level perspective taking abilities (see Preston and de Waal, 2002 , for a discussion), suggesting that although such vicarious responses are activated automatically, they are not purely sensory-driven (Singer and Lamm, 2009 ).",254,68d1ffd21c79f2cbe397c4f53269b6f90eb3a1fba1e163c6257884751bdfb27d,1e8d82b91d2c5ad3148efc2fd870f5a54d20a5a859cbd90f78adde87662be1ee,10,mixed_positive_hard_negative,30.267908,limanowski_minimal_self | concept_lexical:consciousness | concept_lexical:self_identity | hard_negative:reality_appearance_vs_perceptual_description,experience | self | minimal self | neural | sensory | person,consciousness | self_identity,reality_appearance_vs_perceptual_description,"class=mixed_positive_hard_negative; eligible_concepts=consciousness, self_identity; hard_negative=reality_appearance_vs_perceptual_description; source_rules=limanowski_minimal_self; review_flags=manual_section_review",,manual_section_review,manual_section_review,0.023209,false,include,GPT-5.6 Sol,2026-08-08T08:58:00+05:30,"Included: substantive and understandable passage serving consciousness=partial, self_identity=partial, hard negative: reality_appearance_vs_perceptual_description. Citation metadata is internally consistent.",partial,partial,negative,consciousness,self_identity,reality_appearance,reality_appearance_vs_perceptual_description,yes,acceptable,clean,
